"Bill_id","Bill_description","Patron_id","Patron_name","Last_house_committee_id","Last_house_action","Last_house_action_date","Last_senate_committee_id","Last_senate_action","Last_senate_action_date","Last_conference_action","Last_conference_action_date","Last_governor_action","Last_governor_action_date","Emergency","Passed_house","Passed_senate","Passed","Failed","Carried_over","Approved","Vetoed","Full_text_doc1","Full_text_date1","Full_text_doc2","Full_text_date2","Full_text_doc3","Full_text_date3","Full_text_doc4","Full_text_date4","Full_text_doc5","Full_text_date5","Full_text_doc6","Full_text_date6","Last_house_actid","Last_senate_actid","Last_conference_actid","Last_governor_actid","Chapter_id","Introduction_date","Last_actid"
"SB733","Income tax, state; annual adjustment for inflation.","S68","Obenshain","","","","S05","Continued to 2017 in Finance (15-Y 0-N)","02/09/16","","","","","N","N","N","N","N","Y","N","N","SB733","01/22/16","","","","","","","","","","","","S0540","","","","01/22/16","S0540"
"SB734","Public charter schools.","S68","Obenshain","H09","Signed by Speaker","03/10/16","S04","Enrolled Bill Communicated to Governor on 3/11/16","03/11/16","","","Governor's Action Deadline Midnight, Sunday, April 10, 2016","03/11/16","N","Y","Y","Y","N","N","N","N","SB734","01/22/16","SB734S1","02/11/16","SB734H1","03/02/16","SB734ER","03/10/16","","","","","H5620","S7010","","G7010","","01/22/16","G7010"
"SB735","Local planning commission; action on proposed plat, commercial real estate.","S68","Obenshain","","","","S07","Passed by indefinitely in Local Government (9-Y 3-N 1-A)","02/09/16","","","","","N","N","N","N","Y","N","N","N","SB735","01/22/16","","","","","","","","","","","","S0790","","","","01/22/16","S0790"
"SB736","Landscape cover materials; local ordinances concerning installation or use.","S68","Obenshain","H11","Signed by Speaker","02/23/16","S12","Enrolled Bill Communicated to Governor on 2/23/16","02/23/16","","","Acts of Assembly Chapter text (CHAP0217)","03/01/16","N","Y","Y","Y","N","N","Y","N","SB736","01/22/16","SB736S1","02/08/16","SB736ES1","02/12/16","SB736ER","02/23/16","CHAP0217","03/01/16","","","H5620","S7010","","G9998","CHAP0217","01/22/16","G9998"
"SB737","Public employers; award of leave from their official duties, penalty.","S68","Obenshain","","","","S12","Failed to pass in Senate","03/11/16","","","","","N","N","N","N","Y","N","N","N","SB737","01/22/16","SB737S1","02/08/16","","","","","","","","","","S9525","","","","01/22/16","S9525"
"SB738","Lobbyist reporting and Conflicts of Interests Acts; definition of a gift.","S26","Norment","","","","S10","Incorporated by Rules (SB692-Norment) (15-Y 0-N)","02/11/16","","","","","N","N","N","N","Y","N","N","N","SB738","01/22/16","","","","","","","","","","","","S1099","","","","01/22/16","S1099"
"SB739","Drug products; products compounded by nonresident outsourcing facilities.","S100","Surovell","","","","S04","Passed by indefinitely in Education and Health (15-Y 0-N)","02/04/16","","","","","N","N","N","N","Y","N","N","N","SB739","01/22/16","","","","","","","","","","","","S0490","","","","01/22/16","S0490"
"SB740","Electronic textbooks; use by students.","S100","Surovell","H09","Passed by indefinitely in Education","03/02/16","S04","Passed Senate (25-Y 14-N)","02/16/16","","","","","N","N","Y","N","Y","N","N","N","SB740","01/22/16","SB740E","02/15/16","SB740S1","02/16/16","","","","","","","H0990","S5001","","","","01/22/16","H0990"
"SB741","Tax administration; awards for detection of tax underpayments.","S100","Surovell","","","","S05","Continued to 2017 in Finance (15-Y 0-N)","02/03/16","","","","","N","N","N","N","N","Y","N","N","SB741","01/22/16","","","","","","","","","","","","S0540","","","","01/22/16","S0540"
"SB742","Motor vehicles; fuels sales tax in certain transportation districts.","S60","Wagner","H10","Continued to 2017 in Finance","02/29/16","S05","Read third time and passed Senate (23-Y 11-N)","02/12/16","","","","","N","N","Y","N","N","Y","N","N","SB742","01/22/16","SB742S1","02/09/16","","","","","","","","","H1040","S5000","","","","01/22/16","H1040"
"SB743","Division of Energy; state certifying authority for solar energy projects.","S60","Wagner","H01","Signed by Speaker","03/02/16","S05","Enrolled Bill Communicated to Governor on 3/7/2016","03/07/16","","","Approved by Governor-Chapter 518 (effective 7/1/16)","03/29/16","N","Y","Y","Y","N","N","Y","N","SB743","01/22/16","SB743ER","03/02/16","","","","","","","","","H5620","S7010","","G7050","","01/22/16","G7050"
"SB744","Electric utilities; recovery of cost of line extensions to serve megasites.","S60","Wagner","","","","S02","Stricken at request of Patron in Commerce and Labor (14-Y 1-N)","02/08/16","","","","","N","N","N","N","Y","N","N","N","SB744","01/22/16","","","","","","","","","","","","S0281","","","","01/22/16","S0281"
"SB745","Notice to customers of renewable electric power options.","S60","Wagner","H14","Signed by Speaker","02/26/16","S02","Enrolled Bill Communicated to Governor on 3/1/16","03/01/16","","","Acts of Assembly Chapter text (CHAP0259)","03/07/16","N","Y","Y","Y","N","N","Y","N","SB745","01/22/16","SB745S1","02/15/16","SB745ER","02/26/16","CHAP0259","03/07/16","","","","","H5620","S7010","","G9998","CHAP0259","01/22/16","G9998"
